status,project,additional,timePlayed
botao_pressionado,667c31993f13d29d68fd7880,,2024-06-27T15:43:26Z
botao_pressionado,667c31993f13d29d68fd7880,,2024-06-27T15:45:37Z
botao_pressionado,667c31993f13d29d68fd7880,,2024-06-27T15:48:13Z
botao_pressionado,667c31993f13d29d68fd7880,,2024-06-27T15:48:43Z
botao_pressionado,667c31993f13d29d68fd7880,,2024-06-27T16:08:06Z
botao_pressionado,667c31993f13d29d68fd7880,,2024-06-27T16:14:45Z
botao_pressionado,667c31993f13d29d68fd7880,,2024-06-27T16:16:18Z
botao_pressionado,667c31993f13d29d68fd7880,,2024-06-27T17:02:51Z
botao_pressionado,667c31993f13d29d68fd7880,,2024-06-27T17:04:11Z
botao_pressionado,667c31993f13d29d68fd7880,,2024-06-27T17:07:44Z
botao_pressionado,667c31993f13d29d68fd7880,,2024-06-27T17:19:36Z
